ID,TOTAL_COUNT,MALE,FEMALE,COLOUR,Min Latitude,Max Latitude,Min Longitude,Max Longitude
9020,1,0,1,0,40.52911697,40.53051401,-74.21287117,-74.2110283
9021,7,2,4,0,40.52911697,40.53051401,-74.2110283,-74.20918543
9022,2,1,1,2,40.52911697,40.53051401,-74.20918543,-74.20734257
9023,4,3,1,4,40.52911697,40.53051401,-74.20734257,-74.2054997
9024,3,2,1,4,40.52911697,40.53051401,-74.2054997,-74.20365684
9025,2,1,1,2,40.52911697,40.53051401,-74.20365684,-74.20181397
9026,4,2,1,4,40.52911697,40.53051401,-74.20181397,-74.19997111
9027,6,2,4,0,40.52911697,40.53051401,-74.19997111,-74.19812824
9028,2,1,1,2,40.52911697,40.53051401,-74.19812824,-74.19628538
9029,1,1,0,4,40.52911697,40.53051401,-74.19628538,-74.19444251
9031,2,1,1,2,40.52911697,40.53051401,-74.19259964,-74.19075678
9032,2,2,0,4,40.52911697,40.53051401,-74.19075678,-74.18891391
9033,1,0,1,0,40.52911697,40.53051401,-74.18891391,-74.18707105
9043,4,3,1,4,40.52911697,40.53051401,-74.17048526,-74.16864239
9044,2,0,2,0,40.52911697,40.53051401,-74.16864239,-74.16679953
9046,5,3,2,4,40.52911697,40.53051401,-74.16495666,-74.16311379
9047,7,2,5,0,40.52911697,40.53051401,-74.16311379,-74.16127093
9048,3,1,2,0,40.52911697,40.53051401,-74.16127093,-74.15942806
9049,5,4,1,4,40.52911697,40.53051401,-74.15942806,-74.1575852
9050,2,1,1,2,40.52911697,40.53051401,-74.1575852,-74.15574233
9335,9,2,7,0,40.53051401,40.53191104,-74.22392836,-74.22208549
9336,4,4,0,4,40.53051401,40.53191104,-74.22208549,-74.22024263
9337,23,5,18,0,40.53051401,40.53191104,-74.22024263,-74.21839976
9338,4,3,1,4,40.53051401,40.53191104,-74.21839976,-74.2165569
9344,1,1,0,4,40.53051401,40.53191104,-74.20734257,-74.2054997
9345,4,1,3,0,40.53051401,40.53191104,-74.2054997,-74.20365684
9346,4,1,2,0,40.53051401,40.53191104,-74.20365684,-74.20181397
9347,1,0,1,0,40.53051401,40.53191104,-74.20181397,-74.19997111
9348,2,1,1,2,40.53051401,40.53191104,-74.19997111,-74.19812824
9350,8,4,4,2,40.53051401,40.53191104,-74.19628538,-74.19444251
9351,2,0,1,0,40.53051401,40.53191104,-74.19444251,-74.19259964
9352,4,1,3,0,40.53051401,40.53191104,-74.19259964,-74.19075678
9353,1,1,0,4,40.53051401,40.53191104,-74.19075678,-74.18891391
9354,2,1,1,2,40.53051401,40.53191104,-74.18891391,-74.18707105
9356,1,1,0,4,40.53051401,40.53191104,-74.18522818,-74.18338532
9360,4,1,2,0,40.53051401,40.53191104,-74.17785672,-74.17601385
9364,4,2,2,2,40.53051401,40.53191104,-74.17048526,-74.16864239
9365,2,0,2,0,40.53051401,40.53191104,-74.16864239,-74.16679953
9366,3,2,0,4,40.53051401,40.53191104,-74.16679953,-74.16495666
9370,1,0,0,0,40.53051401,40.53191104,-74.15942806,-74.1575852
9371,3,1,2,0,40.53051401,40.53191104,-74.1575852,-74.15574233
9646,3,1,2,0,40.53191104,40.53330808,-74.24235702,-74.24051415
9647,1,0,0,0,40.53191104,40.53330808,-74.24051415,-74.23867128
9648,4,1,0,4,40.53191104,40.53330808,-74.23867128,-74.23682842
9655,4,1,1,2,40.53191104,40.53330808,-74.22577123,-74.22392836
9656,10,2,6,0,40.53191104,40.53330808,-74.22392836,-74.22208549
9657,6,4,2,4,40.53191104,40.53330808,-74.22208549,-74.22024263
9658,1,1,0,4,40.53191104,40.53330808,-74.22024263,-74.21839976
9665,2,1,1,2,40.53191104,40.53330808,-74.20734257,-74.2054997
9666,6,1,4,0,40.53191104,40.53330808,-74.2054997,-74.20365684
